GUID,radius,center_pred_PI,neighbor_count,mean_pred_PI,min_pred_PI,std_pred_PI,pH_ok_rate,high_trust_rate
q5cand_0235,0.1,0.834126137860029,14,0.800046343151193,0.7238030108988736,0.034542485225002334,1.0,0.2857142857142857
q5cand_0235,0.2,0.834126137860029,14,0.7874447211204453,0.6732997854615445,0.045303484116129084,1.0,0.2857142857142857
q5cand_0238,0.1,0.8345400902768993,21,0.7945958390830377,0.7046660789934108,0.03636386771976566,1.0,0.2857142857142857
q5cand_0238,0.2,0.8345400902768993,21,0.7880200953369454,0.6633265346793799,0.04634967902346214,0.9523809523809523,0.2857142857142857
q5cand_0252,0.1,0.832443963039279,21,0.801404239736298,0.7225843308597609,0.032367883770234245,1.0,0.42857142857142855
q5cand_0252,0.2,0.832443963039279,21,0.7963407914240702,0.6998624236151275,0.04099618570621165,1.0,0.38095238095238093
q5cand_0229,0.1,0.7999317506058478,21,0.7911070352542521,0.7118275180843924,0.03441623686341641,1.0,0.14285714285714285
q5cand_0229,0.2,0.7999317506058478,14,0.7758381129250298,0.6716330736476377,0.04044746057678674,1.0,0.0
q5cand_0226,0.1,0.8007217971398203,21,0.7865116724453391,0.716259319819072,0.028885864702879183,1.0,0.0
q5cand_0226,0.2,0.8007217971398203,21,0.7847838508338005,0.6770378794987418,0.04319665466768056,1.0,0.14285714285714285
q5cand_0236,0.1,0.8338255312313442,14,0.7997747360429174,0.7243460779549911,0.03412636808562058,1.0,0.2857142857142857
q5cand_0236,0.2,0.8338255312313442,14,0.7951826077932534,0.6922965702038999,0.04436159020294101,1.0,0.2857142857142857
q5cand_0237,0.1,0.8341730664361963,21,0.7943258774404498,0.7043434037693737,0.03650025930821597,1.0,0.2857142857142857
q5cand_0237,0.2,0.8341730664361963,14,0.7834192231812762,0.6624727075321438,0.04649880543120989,0.9285714285714286,0.2857142857142857
q5cand_0249,0.1,0.833487591253634,14,0.801655323190957,0.7232003507129717,0.03249818855281786,1.0,0.2857142857142857
q5cand_0249,0.2,0.833487591253634,14,0.7971754932586486,0.7027547795231953,0.04071114688062079,1.0,0.2857142857142857
q5cand_0240,0.1,0.8010041067721644,21,0.7903360695370208,0.7226581977065241,0.02585442019962974,1.0,0.0
q5cand_0240,0.2,0.8010041067721644,21,0.7902440418761901,0.7008789466347994,0.038267199257916724,1.0,0.14285714285714285
q5cand_0231,0.1,0.8148329735453603,21,0.7888849145698923,0.7047219053259305,0.0352173201119474,0.9523809523809523,0.14285714285714285
q5cand_0231,0.2,0.8148329735453603,14,0.7743516454782846,0.6663924918103303,0.041485309832282005,0.8571428571428571,0.0
