scenario,target,mae,rmse,r2,bias,spearman,residual_std
baseline_main_route,conductivity,7.85655276968738,17.678394745763228,0.726425434079174,-0.5307739421485385,0.931709718671279,17.67042500364281
baseline_main_route,pH,0.1740005102853365,0.29563435808582833,0.919029447798488,0.009669682873574907,0.9246051279284968,0.295476176559032
baseline_main_route,W_1,0.04430977683243774,0.06532467727679112,0.9594676427174124,0.0055484644418361245,0.9441130715234302,0.06508861654432815
baseline_main_route,R_W,0.015616460926530216,0.02351430090379912,0.7006109833388661,0.0005669183249600156,0.8462819199392905,0.023507465848262604
baseline_main_route,PI,0.03466946724632064,0.058541333169105314,0.7729531795193874,0.002088513344832094,0.8966662872320242,0.058504066535794326
drop_proxy_block,conductivity,9.517887930673272,18.478047055944373,0.7011163198922281,-0.27709616139653276,0.910469544925899,18.475969276848073
drop_proxy_block,pH,0.17941449874976897,0.3028744032645963,0.9150149698334912,0.007189631334588565,0.9214917148822702,0.30278905752050883
drop_proxy_block,W_1,0.04742222248671492,0.06907482242585476,0.9546803162376697,0.004955085764968391,0.9355074938341871,0.06889686653415507
drop_proxy_block,R_W,0.016206340804322972,0.024372296885584493,0.6783640088041452,0.0005283381697489644,0.8410768355150824,0.024366569603812883
drop_proxy_block,PI,0.03764601223392438,0.06072791737513489,0.7556755202657627,0.002743518642389886,0.8909520015177387,0.06066591344552613
cv_seed_7,conductivity,7.688462478476627,16.95577629901515,0.7483334932794913,-0.23970560064971136,0.9413561679393629,16.95408184264961
cv_seed_7,pH,0.17743794750756184,0.30271118302984085,0.9151065427018592,-0.0040816045107680094,0.920697898905097,0.3026836646334643
cv_seed_7,W_1,0.04505581903769311,0.06582326205236197,0.9588465623508803,0.0034462389092126513,0.942454942136217,0.06573298460129849
cv_seed_7,R_W,0.015858347834068063,0.023331843978909136,0.7052391173874042,0.00024068100007914984,0.8480940997913109,0.02333060256642248
cv_seed_7,PI,0.035750541522843994,0.05830278582131777,0.7747997745320965,0.0023705368933708026,0.9054949724909884,0.05825457397804588
