GUID,RUN_ID,conductivity,pH,temperature,V_c_T,V_a_T,V_c_1,V_a_1,W_T,W_1,R_W,num_components,recipe,S_pH,PI,PI_equal,PI_pca,rank_PI,rank_cond,rank_gap,score_gap_vs_cond_z
{E72B85B7-2FB7-91AC-1F44-1EBF32AEFD7A},A08082019uigkul,148.6,7.95,22.1,1.761683,-1.149946,1.659225,-0.97132,2.911629,2.6305449999999997,0.9034616017356606,2,NaNO3:2.00; NaClO4:4.00,1.0,0.8176266781749255,0.7914135938786984,0.9652058402540684,23,99,76,0.30478087649402386
{8C25CF99-F697-C9B3-26C1-9E572CAE6EE6},A08082019uigkul,127.5,8.12,22.2,1.789629,-1.193648,1.683651,-1.037117,2.983277,2.720768,0.9120064948712439,2,NaNO3:2.00; NaClO4:5.00,1.0,0.7661088687183527,0.7322273724766504,0.9678991854015031,90,166,76,0.30278884462151395
{53CAB14B-5A67-4058-36CA-EDEC7893207D},A08082019uigkul,165.1,7.48,21.7,1.682203,-1.007381,1.570506,-0.845116,2.689584,2.415622,0.8981396379514452,2,NaNO3:3.00; NaClO4:1.00,1.0,0.8326067143412902,0.8233637400182544,0.9077957382746213,15,30,15,0.05976095617529886
{04C73CE4-61A8-3342-122D-D22EA0A71248},A08082019uigkul,167.4,7.66,21.3,1.703408,-1.052503,1.602936,-0.912035,2.755911,2.514971,0.9125733741038806,2,NaNO3:3.00; NaClO4:2.00,1.0,0.8552102819076631,0.8414941392534792,0.9702487548882734,3,23,20,0.08366533864541836
{AAA771D5-1F6E-738C-044B-4989B732CEF2},A08082019uigkul,156.8,7.84,21.1,1.749679,-1.125271,1.644663,-0.932355,2.87495,2.577018,0.896369675994365,2,NaNO3:3.00; NaClO4:3.00,1.0,0.8340541080578232,0.8116254349720721,0.9520514229881263,12,54,42,0.16733067729083673
{3CC85BC3-C189-61F7-A9AD-414B8012458C},A08082019uigkul,138.4,8.04,21.4,1.792378,-1.219027,1.690182,-1.055395,3.011405,2.745577,0.9117262540242843,2,NaNO3:3.00; NaClO4:4.00,1.0,0.7966315630988673,0.7655698435885745,1.0,62,139,77,0.30677290836653387
{811B7742-9708-481D-D2C6-E72CA39337AB},A08082019uigkul,170.7,7.5,21.4,1.713421,-1.038299,1.613139,-0.575006,2.75172,2.188145,0.7951917346241623,2,NaNO3:4.00; NaClO4:1.00,1.0,0.7888849978059764,0.7854259475534401,0.6981810115199855,70,15,-55,0.21912350597609564
{987A7F24-6871-9417-2924-68CFE32554F7},A08082019uigkul,164.1,7.69,21.7,1.743055,-1.098275,1.64133,-0.704132,2.84133,2.345462,0.8254803208356649,2,NaNO3:4.00; NaClO4:2.00,1.0,0.8090885429007597,0.7953704785001202,0.7852711029759635,37,36,-1,0.003984063745019917
{0BC976CE-6511-34F2-8A64-A92DDE5A8528},A08082019uigkul,148.4,7.94,21.8,1.767861,-1.145995,1.66487,-0.988222,2.913856,2.653092,0.9105089613213556,2,NaNO3:4.00; NaClO4:3.00,1.0,0.8194650560992067,0.7930772446261618,0.982692007973097,20,101,81,0.32470119521912344
{C728CD3D-8F64-3AC1-255C-2BDE9394431E},A08082019uigkul,170.5,7.54,21.4,1.720829,-1.067428,1.614756,-0.931648,2.7882569999999998,2.546404,0.9132601478271193,2,NaNO3:5.00; NaClO4:1.00,1.0,0.8671434755796817,0.8523439142935101,0.9899878171914629,1,16,15,0.05976095617529875
{CE55911B-3494-64C3-A826-217B9E49902D},A08082019uigkul,157.7,7.79,21.4,1.753104,-1.125434,1.648198,-0.975625,2.878538,2.623823,0.9115123719054603,2,NaNO3:5.00; NaClO4:2.00,1.0,0.8428711138807207,0.8201303115571216,0.9917393271496852,7,51,44,0.17529880478087656
{A0A3756C-1996-1342-9DE2-C26476ED0DC2},A08082019uigkul,165.7,7.62,21.4,1.728594,-1.08694,1.626592,-0.953289,2.815534,2.5798810000000003,0.9163025557496377,2,NaNO3:6.00; NaClO4:1.00,1.0,0.8601818023972836,0.842282258729606,0.9971198608101691,2,28,26,0.10358565737051795
{38DE8839-90D1-2658-4E5A-5B84BB207A1E},A08082019uigkul,72.2,6.01,21.0,1.570143,-0.934903,1.470045,-0.73344,2.505046,2.203485,0.8796185778624425,1,NaNO3:1.00,0.5099999999999998,0.4379797643349355,0.41452404619381095,0.452807552263039,241,240,-1,0.003984063745019917
{6F5AB618-2569-B402-A877-6DCE7DD8F153},A08082019uigkul,117.2,5.91,20.8,1.624523,-0.938217,1.524787,-0.687967,2.56274,2.212754,0.8634328882368091,1,NaNO3:2.00,0.41000000000000014,0.49607953376420305,0.5005625042579495,0.497832210832316,235,186,-49,0.1952191235059761
{3B1E979C-AA36-B5A6-A445-6047ACB7524A},A08082019uigkul,146.7,5.9,20.4,1.647993,-0.96829,1.543318,-0.852394,2.616283,2.395712,0.9156929888700878,1,NaNO3:3.00,0.40000000000000036,0.5748928612873775,0.5888126026593954,0.6949775206869387,210,112,-98,0.3904382470119522
{96991FD3-F267-6D61-C5B4-38C478B999A8},A08082019uigkul,164.2,5.93,20.9,1.667884,-0.974845,1.562627,-0.781515,2.642729,2.3441419999999997,0.8870156569213111,1,NaNO3:4.00,0.4299999999999997,0.6115313228317762,0.6314946072138391,0.6838356609807648,198,34,-164,0.651394422310757
{CD33BF4A-EE37-BB27-834D-5A50685BC1EF},A08082019uigkul,173.2,5.96,21.1,1.697852,-1.010686,1.589119,-0.833027,2.708538,2.4221459999999997,0.8942632519831731,1,NaNO3:5.00,0.45999999999999996,0.6459414203528772,0.6647607677086004,0.7520664471583715,182,14,-168,0.6693227091633467
{CD210EF3-8782-CC49-9B4A-B7847AC0A5D9},A08082019uigkul,176.0,6.0,21.0,1.711749,-1.039046,1.606666,-0.917843,2.750795,2.524509,0.9177379630252346,1,NaNO3:6.00,0.5,0.6780209903334703,0.6936441607841812,0.8408946062682685,161,10,-151,0.601593625498008
{B6BBEE56-6A44-E2C5-A640-FE532DF4CF73},A08082019uigkul,173.4,6.17,21.2,1.728001,-1.081077,1.62242,-0.989711,2.809078,2.6121309999999998,0.929889095283221,1,NaNO3:7.00,0.6699999999999999,0.7642455025100858,0.7678892254263094,0.9391966487381049,98,13,-85,0.33864541832669326
{0EA89D02-40B4-7C1B-0107-715C0E82E2E7},A08082019uigkul,85.7,7.15,20.8,1.530929,-0.885178,1.439259,-0.601209,2.4161070000000002,2.040468,0.8445271670501348,1,NaClO4:1.00,1.0,0.6061971668593619,0.5799082478168067,0.5261158984465086,200,225,25,0.10159362549800798
{002BB164-BEE7-EA15-ED8A-D3236E8C961C},A08082019uigkul,135.6,7.5,20.5,1.537132,-0.985646,1.443256,-0.830675,2.5227779999999997,2.273931,0.9013599294111493,1,NaClO4:2.00,1.0,0.7444712452044262,0.7312869728430907,0.7946058610908971,104,148,44,0.17729083665338646
{CE287932-9624-953A-9A59-97BA5911A998},A08082019uigkul,159.4,7.76,20.5,1.594579,-1.04591,1.505228,-0.830421,2.6404889999999996,2.335649,0.8845516872064229,1,NaClO4:3.00,1.0,0.8056521065233619,0.7981863754352349,0.8470102692400642,43,47,4,0.015936254980079667
{FDA7B14C-8341-4BFB-BA54-DD53B589C923},A08082019uigkul,161.8,7.84,20.5,1.604838,-1.056293,1.506607,-0.964429,2.661131,2.471036,0.9285660871261128,1,NaClO4:4.00,1.0,0.8373529167484454,0.8263085958589559,0.9616597538455763,9,44,35,0.1394422310756972
{4F22D78F-CF9D-E213-A658-31D8C7627159},A08082019uigkul,149.4,7.93,20.6,1.670806,-1.122259,1.574447,-0.99975,2.793065,2.574197,0.9216387731757048,1,NaClO4:5.00,1.0,0.8169268794935873,0.7947622506487838,0.9678032129573328,25,93,68,0.27091633466135456
{3A6B5D27-98C7-EEDD-EABC-98B69A8E4F69},A08092019jjwmzw,128.8,8.05,21.8,1.713953,-1.165175,1.615213,-1.018086,2.879128,2.633299,0.9146168562147984,1,NaClO4:6.00,1.0,0.765080860120237,0.7336618314899594,0.9393740893563371,93,162,69,0.2749003984063745
{5C77AE04-13D1-8E38-67E1-49E89A5D64D8},A08092019jjwmzw,104.1,8.03,22.0,1.741929,-1.207798,1.636713,-1.073813,2.949727,2.7105259999999998,0.9189074107536052,1,NaClO4:7.00,1.0,0.7060882534051977,0.6656983566709247,0.9240205948634858,137,208,71,0.28486055776892427
{214A9ABD-B4DD-CA1E-C771-6BDF9D7C8236},A08092019ythtqw,72.7,8.8,22.0,1.57827,-0.960743,1.479056,-0.825222,2.539013,2.304278,0.907548720703675,2,LiNO3:1.00; Li2SO4:1.00,0.6999999999999993,0.524645070909971,0.4908505779270221,0.5891973876873389,221,239,18,0.07171314741035856
{1911DC75-1835-7EC5-3AEE-42823185BC83},A08092019ythtqw,99.4,8.8,22.0,1.621175,-0.94476,1.517881,-0.812913,2.565935,2.330794,0.9083605001685545,2,LiNO3:2.00; Li2SO4:1.00,0.6999999999999993,0.5865672368202901,0.5630579063138912,0.6562078417687734,205,214,9,0.03585657370517928
{6D135743-3627-79A7-12D5-45AEE4451233},A08092019ythtqw,118.4,8.76,21.9,1.674413,-0.948726,1.576717,-0.77928,2.623139,2.355997,0.8981594189251884,2,LiNO3:3.00; Li2SO4:1.00,0.7400000000000002,0.6479643458995996,0.6299496126234861,0.7052472283475761,181,182,1,0.003984063745019972
{C97C36CE-3313-10BF-89BE-48CB479E5D28},A08092019ythtqw,129.4,8.67,22.0,1.678198,-0.950224,1.570315,-0.866292,2.628422,2.436607,0.9270227535761,2,LiNO3:4.00; Li2SO4:1.00,0.8300000000000001,0.7151492890458518,0.6961403045866992,0.825161039802778,121,161,40,0.15936254980079678
{EB620CCA-124A-1E69-D611-437B1308E122},A08092019ythtqw,135.0,8.54,22.0,1.691727,-0.963858,1.589772,-0.885929,2.655585,2.475701,0.9322620062999302,2,LiNO3:5.00; Li2SO4:1.00,0.9600000000000009,0.7643843451847654,0.7424655240843817,0.899906370092966,96,150,54,0.21513944223107567
{DCBE6D3D-89D3-369D-5EB3-7BC1DF89FBAD},A08092019ythtqw,136.1,8.39,21.9,1.728481,-0.975958,1.620315,-0.890597,2.704439,2.510912,0.9284409816601521,2,LiNO3:6.00; Li2SO4:1.00,1.0,0.7757669745322571,0.7521176505374985,0.9238353275361062,85,145,60,0.23904382470119517
{D548E380-7A76-7F85-7ECA-3318104D9E40},A08092019ythtqw,82.8,8.92,22.0,1.592699,-0.958905,1.500951,-0.816355,2.551604,2.317306,0.9081761903492861,2,LiNO3:1.00; Li2SO4:2.00,0.5800000000000001,0.5026670116774727,0.4773420593759244,0.5783176928775736,231,229,-2,0.007968127490039847
{4ACDD325-3E35-6C77-DA8F-D5B2C0AAFAC0},A08092019ythtqw,101.6,8.82,22.0,1.642673,-0.943067,1.545229,-0.67921,2.58574,2.224439,0.8602717210547077,2,LiNO3:2.00; Li2SO4:2.00,0.6799999999999997,0.570093419064148,0.5510053839879939,0.551087020686972,212,211,-1,0.003984063745019917
{CD48889B-3423-2BC3-9D5E-3416508C2B9B},A08092019ythtqw,113.6,8.68,22.2,1.658491,-0.967583,1.552525,-0.88137,2.626074,2.4338949999999997,0.9268188939077877,2,LiNO3:3.00; Li2SO4:2.00,0.8200000000000003,0.6718711362638676,0.6462675251427444,0.7878359949853481,168,193,25,0.09960159362549798
{6658B1A3-ED8D-8481-827A-E65820B03D69},A08092019ythtqw,120.6,8.54,22.1,1.698736,-0.976803,1.582217,-0.909457,2.675539,2.4916739999999997,0.931279267467228,2,LiNO3:4.00; Li2SO4:2.00,0.9600000000000009,0.7281018225463116,0.6997844577101435,0.8750314827599722,113,179,66,0.2629482071713147
{8EAAA4C5-CB68-9CAD-60A6-55CBE4C2D54F},A08092019ythtqw,122.8,8.38,22.0,1.711117,-0.978424,1.600908,-0.910433,2.689541,2.511341,0.9337433413359378,2,LiNO3:5.00; Li2SO4:2.00,1.0,0.7413616727125236,0.7130549746690361,0.9031264320485133,105,175,70,0.27888446215139445
