slice,count,direct_mae_vs_actual,recon_mae_vs_actual,direct_vs_recon_spearman,mean_abs_gap,q90_abs_gap
overall,251,0.03466946724632064,0.039108143964865186,0.9661642952001518,0.034270314920867635,0.07327439416803472
high_PI_top10,26,0.03853118125975274,0.020515022731593998,0.6704273504273504,0.0333485969865874,0.05530396395620907
low_PI_bottom10,26,0.10419976409222491,0.08039509698474304,0.6088888888888888,0.07494036117024296,0.13628366497907493
rare_pattern,26,0.053119634792156825,0.055309499408843235,0.9384615384615382,0.043733281837857435,0.09009534570139341
