trust_tier,sample_count,mean_PI_mae,mean_conductivity_mae,mean_density
high,160.0,0.023178844341775934,6.720853530074805,2.5185257121093065
low,45.0,0.05965925540382335,9.556713182272711,8.806483143067416
medium,46.0,0.05019031936891914,10.143610590810695,5.002898435093592
